Designator,Mid X,Mid Y,Layer,Rotation
C1,194.06,-82.64,top,180
C2,191.05,-82.64,top,180
C3,206.26,-68.88,top,180
C4,191.345,-68.87,top,0
C5,198.43,-86.02,top,90
C6,199.93,-86.025,top,-90
C7,194.05,-75.1,top,90
C8,195.52,-75.59,top,-90
C9,205.58,-82.92,top,-90
C10,204.02,-82.93,top,90
C11,193.6,-86,top,-90
C12,195.13,-86.01,top,90
C13,192.42,-75.75,top,90
C14,190.86,-74.415,top,-90
C15,203.88,-86.04,top,-90
C16,202.41,-86.03,top,90
R1,208.34,-71.11,top,0
R2,198.01,-76.1,top,0
U1,198.52,-80.21,top,90
U2,182.58,-76.54,top,-90
USB-C-Male1,208.2725,-76.86,top,90
X1,198.82,-70.45,top,180